group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
Other,1437,0.10368823938761308,0.8826910250531494,0.014445913159248645,0.010486048625031635,0.03163022705073683,insurance_group,xgb,temperature,0
18-44,585,0.08034188034188035,0.9257692003480187,0.024648333956603388,0.012254706702099211,0.04250185022349414,age_band,mlp,none,0
45-64,1601,0.11242973141786383,0.8581085307686293,0.03287138303576744,0.02501354837497901,0.048848571496133295,age_band,mlp,none,0
65-79,1570,0.14267515923566879,0.8626087879431118,0.024381719182185478,0.01916391982989295,0.04060671252703432,age_band,mlp,none,0
80+,916,0.18777292576419213,0.8176340960240059,0.05575092997735329,0.035659714041584425,0.07671576093388237,age_band,mlp,none,0
F,2002,0.13636363636363635,0.8520604130783426,0.030330712284186753,0.020754563730984648,0.04313644814857981,sex,mlp,none,0
M,2670,0.13108614232209737,0.8645246305418718,0.02922723138029815,0.02048309970078388,0.04130868165831414,sex,mlp,none,0
Asian,157,0.14012738853503184,0.8575757575757575,0.0628046823038377,0.029349253804603747,0.10404298797502226,ethnicity_group,mlp,none,0
Black,413,0.10653753026634383,0.8576003941857601,0.029212668660075644,0.01946038355827061,0.06377404700816913,ethnicity_group,mlp,none,0
Hispanic,178,0.11797752808988764,0.8462238398544131,0.052138493497469435,0.031748642870820985,0.10574244146486339,ethnicity_group,mlp,none,0
Other,944,0.1832627118644068,0.8990650982509015,0.031552381281638425,0.022934106587601553,0.05662389678919939,ethnicity_group,mlp,none,0
White,2980,0.12181208053691275,0.8405035522136992,0.032393458541084885,0.024588534160780183,0.0436149476986266,ethnicity_group,mlp,none,0
Medicaid,681,0.11747430249632893,0.8710898502495841,0.04916818239792582,0.025592286751114357,0.06705173328619593,insurance_group,mlp,none,0
Medicare,2554,0.15426781519185592,0.8551536943034403,0.02905585640631188,0.020577748415376417,0.04058320629511421,insurance_group,mlp,none,0
Other,1437,0.10368823938761308,0.8566582600358498,0.03321873793962912,0.024115346929946754,0.04984780959939456,insurance_group,mlp,none,0
18-44,585,0.08034188034188035,0.9257692003480187,0.030989927241423153,0.01756921661959514,0.04921880561663585,age_band,mlp,temperature,0
45-64,1601,0.11242973141786383,0.8581085307686293,0.03072088614338536,0.021848681908258248,0.045843543151679475,age_band,mlp,temperature,0
65-79,1570,0.14267515923566879,0.8626087879431118,0.017089490192279476,0.014060344233820925,0.03559200706114062,age_band,mlp,temperature,0
80+,916,0.18777292576419213,0.8176340960240059,0.040877173491822114,0.020831102194814377,0.059733719188229735,age_band,mlp,temperature,0
F,2002,0.13636363636363635,0.8520604130783426,0.02101143508845453,0.016558020339852757,0.03561600767496882,sex,mlp,temperature,0
